Taxa,Photo Type,Caption Type,Awe Factor,Date,Time,Like 24,Share 24,Comment 24,Word Count,Like Current,Comment Current,Share Current
Gastropod  Non nudibranch  & Bivalve,Standard Scientific,Public,Low,6/17/15,12:39:00,69,27,8,26,78,9,27
Jellyfish,Standard Scientific,Scientific,Low,5/13/15,21:40:00,88,17,0,5,91,0,17
Jellyfish,Color,Public,High,7/3/14,8:04:00,126,42,0,25,137,0,42
Porifera,Color,Scientific,High,12/9/14,15:58:00,77,13,0,13,91,0,13
Cephalopod,Standard Scientific,Public,High,6/12/15,12:11:00,148,45,9,30,150,9,45
Nudibranch,Behavioral,Scientific,High,7/9/14,19:54:00,59,17,3,11,60,3,17
Pinneped,Behavioral,Public,Low,8/3/14,15:52:00,12,0,0,21,13,0,0
Jellyfish,Behavioral,Public,Low,7/23/15,13:04:00,18,1,1,18,22,1,1
Testudines,Behavioral,Public,Low,8/21/14,12:31:00,15,1,0,29,20,0,1
Nudibranch,Color,Public,High,10/14/14,15:32:00,85,15,2,31,91,2,15
Pinneped,Color,Public,Low,6/30/14,21:27:00,12,0,1,12,19,1,0
Pinneped,Color,Scientific,Low,7/27/15,21:14:00,12,0,0,17,16,1,0
Coral,Standard Scientific,Public,High,8/3/15,15:08:00,17,0,0,31,21,3,0
Arthropod,Standard Scientific,Scientific,Low,7/30/14,14:02:00,38,3,1,35,44,1,4
Testudines,Standard Scientific,Scientific,High,7/1/14,17:47:00,52,14,0,11,55,1,15
Echinoderm,Color,Public,Low,11/26/14,16:18:00,26,2,0,55,36,2,3
Polychaete,Behavioral,Scientific,High,6/25/15,13:36:00,37,4,6,10,39,6,6
Polychaete,Standard Scientific,Scientific,Low,6/25/14,21:06:00,16,1,0,13,16,0,3
Porifera,Standard Scientific,Scientific,Low,7/17/14,11:01:00,21,2,0,13,21,0,4
Cephalopod,Behavioral,Scientific,Low,6/18/15,13:56:00,22,0,0,6,22,0,2
Echinoderm,Color,Scientific,Low,8/4/14,13:07:00,20,0,0,17,21,0,2
Cetacea,Color,Public,High,9/21/15,16:16:00,24,0,3,26,25,3,2
Jellyfish,Behavioral,Public,High,5/12/14,22:21:00,38,6,0,71,40,0,8
Nudibranch,Color,Public,Low,6/24/15,16:03:00,23,0,0,19,25,0,2
Osteichthyes,Behavioral,Scientific,Low,7/13/14,14:31:00,32,1,1,21,35,1,3
Pinneped,Behavioral,Scientific,High,9/16/14,19:29:00,23,1,1,16,26,1,3
Echinoderm,Standard Scientific,Scientific,Low,10/15/14,17:35:00,26,0,2,28,29,2,2
Coral,Behavioral,Scientific,Low,11/18/14,11:55:00,35,3,0,35,39,0,5
Arthropod,Color,Public,Low,5/19/15,9:21:00,21,0,1,60,25,1,2
Polychaete,Color,Public,High,9/23/15,18:24:00,125,76,8,48,130,8,78
Arthropod,Behavioral,Scientific,Low,7/31/14,13:32:00,63,11,3,14,69,3,13
Elasmobranch,Behavioral,Scientific,Low,8/20/14,15:08:00,22,1,0,15,28,0,3
Gastropod  Non nudibranch  & Bivalve,Color,Public,Low,9/9/14,15:32:00,39,1,0,39,45,2,3
Coral,Color,Public,Low,10/30/14,11:14:00,25,0,0,18,45,3,2
Nematoda,Color,Public,Low,8/19/14,17:18:00,13,1,1,44,13,1,4
Polychaete,Standard Scientific,Public,High,6/30/15,15:06:00,21,1,0,58,21,0,4
Coral,Color,Public,High,11/11/14,14:37:00,34,0,0,39,40,0,3
Coral,Behavioral,Scientific,High,6/29/15,12:56:00,36,2,1,12,46,1,5
Pinneped,Standard Scientific,Scientific,High,12/16/14,16:30:00,29,0,1,8,40,1,3
Nudibranch,Standard Scientific,Scientific,High,6/26/14,17:14:00,43,11,0,11,49,1,14
Echinoderm,Standard Scientific,Scientific,High,8/13/14,15:09:00,41,2,1,19,49,2,5
Coral,Standard Scientific,Public,Low,6/10/15,16:49:00,75,4,6,19,86,6,8
Nematoda,Standard Scientific,Public,High,10/29/14,9:09:00,24,2,2,48,30,2,6
Nematoda,Color,Public,High,1/8/16,13:36:00,77,27,15,27,83,15,31
Testudines,Color,Public,Low,11/19/14,12:22:00,63,1,5,27,75,5,5
Echinoderm,Behavioral,Scientific,High,8/18/14,15:48:00,28,1,2,17,31,2,5
Testudines,Behavioral,Scientific,Low,12/15/14,15:00:00,27,1,1,14,32,1,5
Nudibranch,Standard Scientific,Public,High,5/15/15,13:12:00,50,6,1,58,55,1,10
Porifera,Behavioral,Public,Low,9/10/14,12:27:00,26,0,0,48,32,0,4
Polychaete,Behavioral,Public,High,9/4/14,18:17:00,65,14,3,36,79,4,18
Nudibranch,Color,Scientific,High,6/11/15,14:39:00,37,2,0,12,74,2,6
Gastropod  Non nudibranch  & Bivalve,Color,Public,High,6/27/14,13:09:00,63,1,5,24,63,5,6
Nudibranch,Standard Scientific,Public,Low,7/20/14,16:53:00,51,1,1,9,53,1,6
Echinoderm,Behavioral,Public,High,7/10/15,9:34:00,49,1,0,37,61,0,6
Nudibranch,Standard Scientific,Scientific,Low,6/15/15,10:50:00,45,3,7,16,54,7,9
Porifera,Standard Scientific,Scientific,High,5/17/15,11:29:00,52,2,1,10,58,1,8
Gastropod  Non nudibranch  & Bivalve,Behavioral,Scientific,High,8/5/14,20:40:00,52,0,4,27,56,4,7
Nudibranch,Behavioral,Public,Low,8/7/14,12:02:00,36,2,1,37,40,1,9
Osteichthyes,Color,Scientific,Low,10/28/14,10:31:00,67,35,1,25,82,1,42
Pinneped,Behavioral,Public,High,9/11/14,12:11:00,30,7,2,54,41,3,15
Testudines,Standard Scientific,Public,Low,9/2/14,15:03:00,41,3,3,65,51,6,11
